latitude,longitude,acq_date,acq_time,frp,brightness,bright_t31,confidence,risk_score,risk_level
30.62572,71.72218,2026-08-08,845,3.25,335.05,299.18,n,24.69,Low
30.65879,72.24271,2026-08-08,845,5.84,332.84,297.87,n,25.4,Low
30.65776,72.24519,2026-08-08,845,4.05,337.36,298.15,n,26.57,Low
30.63301,72.07047,2026-08-08,845,4.51,338.93,297.02,n,27.79,Low
30.62918,72.07106,2026-08-08,845,4.51,343.13,297.11,n,30.12,Low
30.61395,72.13991,2026-08-08,845,4.51,334.77,297.39,n,25.48,Low
30.60304,72.0806,2026-08-08,845,3.22,332.68,298.53,n,23.35,Low
34.44895,71.26234,2026-08-08,845,4.53,341.11,305.37,n,29.01,Low
33.74356,70.23043,2026-08-08,845,4.05,338.46,306.91,n,27.18,Low
33.74333,70.22848,2026-08-08,845,4.18,336.46,307.21,l,26.17,Low
37.34737,97.40837,2026-08-08,1925,0.49,301.33,289.1,n,3.88,Low
35.99072,94.83022,2026-08-08,1925,0.79,301.4,285.46,n,4.15,Low
29.37856,91.14952,2026-08-08,1928,0.33,301.29,278.88,n,3.74,Low
29.65848,90.89863,2026-08-08,1928,0.89,301.16,281.94,n,4.09,Low
30.06933,96.97936,2026-08-08,1928,0.66,297.11,284.52,n,1.67,Low
23.5617,87.08315,2026-08-08,1930,4.17,310.49,287.51,n,11.73,Low
23.80587,86.32827,2026-08-08,1930,1.03,309.0,287.91,n,8.55,Low
23.79856,86.35028,2026-08-08,1930,1.95,327.19,288.32,n,19.35,Low
23.79887,86.34701,2026-08-08,1930,1.95,303.72,287.78,n,6.31,Low
23.79824,86.35355,2026-08-08,1930,0.87,306.5,287.78,n,7.04,Low
23.79314,86.35291,2026-08-08,1930,0.87,303.24,287.75,n,5.23,Low
23.77949,86.38737,2026-08-08,1930,3.29,321.08,288.49,n,16.96,Low
23.78107,86.37106,2026-08-08,1930,0.81,303.3,287.81,n,5.22,Low
23.77917,86.39056,2026-08-08,1930,1.43,311.63,287.61,n,10.31,Low
23.77692,86.36066,2026-08-08,1930,2.79,303.77,287.31,n,6.96,Low
23.77661,86.36392,2026-08-08,1930,1.41,319.54,287.86,n,14.69,Low
23.77151,86.3633,2026-08-08,1930,1.41,304.89,287.15,n,6.55,Low
23.7681,86.39877,2026-08-08,1930,0.92,303.31,287.23,n,5.31,Low
23.76778,86.40202,2026-08-08,1930,0.29,301.64,286.08,n,3.91,Low
23.76302,86.39813,2026-08-08,1930,0.97,306.55,287.32,n,7.14,Low
23.75794,86.39742,2026-08-08,1930,0.97,301.47,287.28,n,4.32,Low
23.76022,86.39659,2026-08-08,1930,1.08,304.41,287.29,n,6.04,Low
23.75988,86.39985,2026-08-08,1930,0.91,304.81,287.1,n,6.13,Low
23.56486,87.08422,2026-08-08,1930,2.6,305.78,287.56,n,7.94,Low
22.05452,88.1247,2026-08-08,1930,3.89,312.18,287.3,n,12.46,Low
20.96631,85.1635,2026-08-08,1932,1.02,301.58,279.71,n,4.42,Low
17.30454,97.0611,2026-08-08,1932,0.53,305.01,288.55,n,5.96,Low
20.78667,85.26571,2026-08-08,1932,0.61,302.89,278.85,n,4.84,Low
20.78739,85.2589,2026-08-08,1932,1.2,310.55,277.51,n,9.54,Low
20.78619,85.2653,2026-08-08,1932,0.68,300.75,279.05,n,3.7,Low
20.78687,85.25846,2026-08-08,1932,1.2,308.31,278.08,n,8.29,Low
21.07961,85.03843,2026-08-08,1932,1.56,302.21,282.03,n,5.18,Low
20.80865,85.25416,2026-08-08,1932,1.39,305.48,278.63,n,6.86,Low
20.9638,85.18809,2026-08-08,1932,1.05,307.75,278.97,n,7.87,Low
20.96416,85.18463,2026-08-08,1932,0.65,302.01,279.2,n,4.38,Low
20.95013,86.04408,2026-08-08,1932,2.05,306.58,280.28,n,7.97,Low
20.9495,86.05014,2026-08-08,1932,2.05,302.74,279.68,n,5.84,Low
20.98516,85.13718,2026-08-08,1932,1.21,301.48,282.13,n,4.51,Low
20.97623,85.17174,2026-08-08,1932,0.86,302.12,280.84,n,4.6,Low
20.97055,85.1747,2026-08-08,1932,0.74,306.8,279.86,n,7.11,Low
20.96451,85.18114,2026-08-08,1932,0.65,301.1,279.6,n,3.88,Low
20.96523,85.17413,2026-08-08,1932,0.74,306.67,279.54,n,7.04,Low
